project,{evorand_time_budget},{project},{bug_id}{b_f},0{test_id},split{_minute},method
Jsoup,1200,Jsoup,22b,02,split1,seqC
Jsoup,1200,Jsoup,22b,02,split3,seqC
Jsoup,1200,Jsoup,22b,03,split1,seqC
Jsoup,1200,Jsoup,22b,04,split1,seqC
Jsoup,1200,Jsoup,29b,01,split3,seqC
Jsoup,1200,Jsoup,29b,01,split4,seqC
Jsoup,1200,Jsoup,29b,02,split1,seqC
Jsoup,1200,Jsoup,29b,02,split3,seqC
Jsoup,1200,Jsoup,29b,02,split4,seqC
Jsoup,1200,Jsoup,29b,03,split2,seqC
Jsoup,1200,Jsoup,30b,00,split1,seqC
Jsoup,1200,Jsoup,30b,01,split1,seqC
Jsoup,1200,Jsoup,30b,02,split1,seqC
Jsoup,1200,Jsoup,30b,03,split1,seqC
Jsoup,1200,Jsoup,30b,04,split1,seqC
Jsoup,1200,Jsoup,32b,01,split1,seqC
Jsoup,1200,Jsoup,32b,01,split3,seqC
Jsoup,1200,Jsoup,32b,02,split1,BOTH
Jsoup,1200,Jsoup,32b,02,split2,BOTH
Jsoup,1200,Jsoup,32b,02,split3,BOTH
Jsoup,1200,Jsoup,32b,03,split4,seqC
Jsoup,1200,Jsoup,34b,00,split1,seqP
Jsoup,1200,Jsoup,34b,01,split2,seqP
Jsoup,1200,Jsoup,34b,01,split4,seqP
Jsoup,1200,Jsoup,34b,02,split2,seqP
Jsoup,1200,Jsoup,34b,02,split3,seqP
Jsoup,1200,Jsoup,34b,03,split3,seqP
Jsoup,1200,Jsoup,34b,03,split4,seqP
Jsoup,1200,Jsoup,34b,04,split1,seqP
Jsoup,1200,Jsoup,37b,00,split1,seqC
Jsoup,1200,Jsoup,37b,01,split1,seqC
Jsoup,1200,Jsoup,37b,02,split3,seqC
Jsoup,1200,Jsoup,37b,03,split1,seqC
Jsoup,1200,Jsoup,37b,03,split4,seqC
Jsoup,1200,Jsoup,40b,00,split1,seqC
Jsoup,1200,Jsoup,40b,01,split1,seqC
Jsoup,1200,Jsoup,40b,02,split1,seqC
Jsoup,1200,Jsoup,40b,02,split4,BOTH
Jsoup,1200,Jsoup,40b,03,split1,seqC
Jsoup,1200,Jsoup,40b,04,split1,seqC
Jsoup,1200,Jsoup,50b,01,split1,seqP
Jsoup,1200,Jsoup,50b,02,split4,seqP
Jsoup,1200,Jsoup,50b,03,split1,seqP
Jsoup,1200,Jsoup,50b,03,split2,seqP
Jsoup,1200,Jsoup,50b,04,split1,seqP
Jsoup,1200,Jsoup,72b,00,split1,seqP
Jsoup,1200,Jsoup,72b,00,split3,seqP
Jsoup,1200,Jsoup,72b,01,split1,seqP
Jsoup,1200,Jsoup,72b,01,split2,seqP
Jsoup,1200,Jsoup,72b,02,split1,seqP
Jsoup,1200,Jsoup,72b,02,split2,seqP
Jsoup,1200,Jsoup,72b,03,split1,seqP
Jsoup,1200,Jsoup,72b,04,split1,seqP
Jsoup,1200,Jsoup,79b,00,split1,seqC
Jsoup,1200,Jsoup,79b,01,split1,seqC
Jsoup,1200,Jsoup,79b,02,split1,seqC
Jsoup,1200,Jsoup,79b,03,split1,seqC
Jsoup,1200,Jsoup,79b,04,split1,seqC
Jsoup,1200,Jsoup,86b,00,split1,seqC
Jsoup,1200,Jsoup,86b,01,split1,seqC
Jsoup,1200,Jsoup,86b,02,split1,seqC
Jsoup,1200,Jsoup,86b,03,split1,seqC
Jsoup,1200,Jsoup,86b,04,split1,seqC
Jsoup,1200,Jsoup,89b,00,split1,seqC
Jsoup,1200,Jsoup,89b,01,split1,seqC
Jsoup,1200,Jsoup,89b,02,split1,seqC
Jsoup,1200,Jsoup,89b,03,split1,seqC
Jsoup,1200,Jsoup,89b,04,split1,seqC
JxPath,1200,JxPath,5b,01,split1,seqC
JxPath,1200,JxPath,5b,01,split2,seqC
JxPath,1200,JxPath,5b,04,split1,seqC
JxPath,1200,JxPath,5b,04,split2,seqC
JxPath,1200,JxPath,6b,00,split1,seqC
JxPath,1200,JxPath,6b,01,split1,seqP
JxPath,1200,JxPath,9b,00,split2,seqC
JxPath,1200,JxPath,13b,00,split1,seqC
JxPath,1200,JxPath,13b,01,split1,seqC
JxPath,1200,JxPath,13b,02,split1,seqC
JxPath,1200,JxPath,13b,03,split1,seqC
JxPath,1200,JxPath,13b,04,split1,seqC
JxPath,1200,JxPath,21b,01,split2,seqC
JxPath,1200,JxPath,21b,02,split1,seqC
Lang,1200,Lang,3b,00,split1,seqP
Lang,1200,Lang,5b,00,split1,seqC
Lang,1200,Lang,5b,01,split1,seqC
Lang,1200,Lang,5b,02,split1,seqC
Lang,1200,Lang,5b,03,split1,seqC
Lang,1200,Lang,5b,04,split1,seqC
Lang,1200,Lang,6b,00,split1,seqP
Lang,1200,Lang,6b,01,split1,seqP
Lang,1200,Lang,6b,02,split1,seqP
Lang,1200,Lang,6b,03,split1,seqP
Lang,1200,Lang,6b,04,split1,seqP
Lang,1200,Lang,11b,01,split1,seqC
Lang,1200,Lang,12b,00,split1,seqC
Lang,1200,Lang,12b,00,split4,seqC
Lang,1200,Lang,12b,01,split4,seqC
Lang,1200,Lang,12b,02,split1,seqC
Lang,1200,Lang,12b,02,split4,seqC
Lang,1200,Lang,12b,03,split1,seqC
Lang,1200,Lang,12b,03,split4,seqC
Lang,1200,Lang,12b,04,split1,seqC
Lang,1200,Lang,20b,00,split1,seqP
